Business Field,Column Name,Data Type,Definition,Null,Standard Values/Notes
Factbase Internal Identifier,wire_trans_id,NUMBER(22),Unique identifier for the transactions across Factbase,Not Null,
Originator Name,orig_nm,CHAR(255),Unique identifier for the transactions across Factbase,Not Null,
Originator ID,orig_cust_id,NUMBER(22),Customer ID of the originator,Not null,foreign key to Customer ID
Originator Account ID,orig_acct_id,NUMBER(22),Account ID of the originator,null,foreign key Account ID
Originator Currency Code,orig_curr_cd,CHAR(3),Currency code for the transfer,null,
Originator Bank,orig_bank_nm,CHAR(250),Originator Bank Name,,
Originator Address,orig_addr_txt,CHAR(1000),Address of the originator,,
Originator Country of Residence,orig_cntry_cd,CHAR(3),Residence country of the originator,,
Originator TIN,orig_tin,CHAR(20),Tax Identification Number of the originator,,
Beneficiary Name,ben_nm,CHAR(255),Normalized name of the beneficiary,,
Beneficiary Bank,ben_bank_nm,CHAR(255),Beneficiary bank name,,
Beneficiary address,ben_addr_txt,CHAR(1000),Address of the beneficiary,,
Beneficiary Country Code,ben_cntry,CHAR(3),Country code of the beneficairy,,
Beneficiary Instructions,ben_instr_txt,CHAR(1000),Instructions to the beneficairy,,
Purpose of Transaction,txn_purp_txt,CHAR(1000),Purpose for which the transaction is made,,
Credit or Debit,credit_or_debit,CHAR(1),Is this a credit or debit?,,
Transaction Amount,txn_amt,NUMBER(20),Transaction Amount,,
Transfer Type,transfer_type,CHAR(50),Type of the transaction,,"RTGS, NEFT etc."
Transfer Execution Date,transfer_dt,DATE,Date of the transaction,,Date should be in UTC
Transaction Reference Number,txn_ref,CHAR(255),The reference number for the transaction,,
Transaction status,txn_status,CHAR(20),Status of the transaction,,
Correspondent bank name,corres_bank_nm,CHAR(255),Name of the correspondent bank for international transfers,,
Bank to Bank Transfer,bank_to_bank,CHAR(1),Is this a bank to bank transfer?,,
Bank to Bank Instructions,bank_instr,CHAR(2000),Instructions for the bank to bank transfer,,
Originator Entity Risk,orig_entity_rsk,NUMBER(3),Entity risk of the originator,,
Originator Country Risk,orig_cntry_rsk,NUMBER(3),Country risk of the originator,,
Originator Institution Risk,orig_inst_rsk,NUMBER(3),Institution risk of the originator,,
Originator Watch List Identifier,orig_wl_id,CHAR(50),,,
Originator Watch List Matching Text,orig_wl_match_txt,CHAR(2000),,,
Beneficiary Entity Risk,ben_entity_rsk,NUMBER(3),Entity risk of the beneficiary,,
Beneficiary Country Risk,ben_cntry_rsk,NUMBER(3),Country risk of the beneficairy,,
Beneficiary Institution Risk,ben_inst_rsk,NUMBER(3),Institution risk of the beneficiary,,
Beneficiary Watch List Identifier,ben_wal_id,CHAR(3),,,
Beneficiary Watch List Matching Text,ben_wl_match_txt,CHAR(2000),,,